---------------------------
|Data statistics|Number of|
|-------------------------|
|Records passed |    1,848|
---------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SOrg.|Ship-To Pt|Purchase order no.  |Sales Doc |Created on|Delivery  |Item      |Material          |Dlvy Qty  |DlvTy|Deliv.Date|OvCS|Name 1                             |Name 2                                  |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000590    |661-4604          |6.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000580    |661-4600          |4.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000570    |661-4588          |4.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000560    |661-4587          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000550    |661-4579          |5.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000540    |661-4577          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000530    |661-4491          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000520    |661-4490          |4.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000510    |661-4472          |11.000    |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000500    |661-4447          |2.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000910    |X661-4669         |2.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000900    |PA661-4450        |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000880    |661-5138          |10.000    |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000870    |661-5101          |3.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000860    |661-5075          |77.000    |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                             APPLE INTERNAL USE ONLY
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SOrg.|Ship-To Pt|Purchase order no.  |Sales Doc |Created on|Delivery  |Item      |Material          |Dlvy Qty  |DlvTy|Deliv.Date|OvCS|Name 1                             |Name 2                                  |
|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000850    |661-5070          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000840    |661-5061          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000830    |661-5025          |3.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000820    |661-5021          |7.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000810    |661-4996          |5.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000800    |661-4980          |3.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000790    |661-4958          |2.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000780    |661-4955          |11.000    |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000770    |661-4946          |13.000    |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000760    |661-4917          |3.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000750    |661-4905          |14.000    |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000740    |661-4854          |2.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000730    |661-4837          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000720    |661-4816          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000710    |661-4809          |3.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000490    |661-4446          |2.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000280    |661-4236          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000270    |661-4219          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000260    |661-4203          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000250    |661-4095          |6.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000240    |661-4088          |3.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000230    |661-4080          |14.000    |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000220    |661-4045          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476961673 |06/14/2009|81973304  |000210    |661-4028          |1.000     |NLCC |06/29/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
